"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2020/02/06 00:30:01","BTC","受取","0","BTC","0.000005","0","1,077,000","","0","","","","REC20200205-153000-253239","bitFlyer Login Bonus(2020/02/06)"
"2020/02/05 12:28:07","XRP/JPY","売り","29.15","XRP","-50","0","29.15","JPY","1,457","","","自己","BFF20200205-032807-556682",""
"2020/02/05 01:05:43","BTC/JPY","売り","972,642","BTC","-0.000005","0","972,642","JPY","4","","","自己","BFF20200204-160543-366322",""
"2020/02/05 01:05:17","XRP/JPY","売り","28.72","XRP","-10","0","28.72","JPY","287","","","自己","BFF20200204-160517-363074",""
"2020/02/03 07:22:29","XRP/JPY","売り","26.98","XRP","-40","0","26.98","JPY","1,079","","","自己","BFF20200202-222229-489760",""
"2020/01/19 15:39:34","XRP/JPY","売り","26.75","XRP","-40","0","26.75","JPY","1,070","","","自己","BFF20200119-063934-081533",""
"2020/01/19 00:11:19","BTC","受取","0","BTC","0.000005","0","949,537","","0","","","","REC20200118-151119-253419","bitFlyer Login Bonus(2020/01/19)"
"2020/01/15 09:34:21","BTC/JPY","売り","950,140","BTC","-0.000005","0","950,140","JPY","4","","","自己","BFF20200115-003421-632787",""
"2020/01/10 00:00:54","BTC","受取","0","BTC","0.000005","0","870,657","","0","","","","REC20200109-150054-629198","bitFlyer Login Bonus(2020/01/10)"
"2020/01/08 12:54:20","BTC/JPY","売り","883,255","BTC","-0.00001","0","883,255","JPY","8","","","自己","BFF20200108-035420-200209",""
"2020/01/07 05:29:40","XRP/JPY","売り","23.63","XRP","-3","0","23.63","JPY","70","","","自己","BFF20200106-202940-123763",""
"2019/12/20 00:54:20","BTC","受取","0","BTC","0.000005","0","786,500","","0","","","","REC20191219-155420-148170","bitFlyer Login Bonus(2019/12/20)"
"2019/12/17 21:35:43","XRP/JPY","買い","22.71","XRP","3","0","22.71","JPY","-69","","","自己","BFF20191217-123543-137413",""
